municipal_name,region_name,indicator,anomaly_type,actual_value,expected_value,deviation_pct,severity_score,description
Хабаровск,Хабаровский край,population_female,statistical_outlier,1490633.0,116819.26,1176.02,100.0,population_female value 1490633.00 deviates 5.26 standard deviations from mean 116819.26
Хабаровск,Хабаровский край,population_male,statistical_outlier,1225585.0,98961.88,1138.44,100.0,population_male value 1225585.00 deviates 5.32 standard deviations from mean 98961.88
Владивостокский,Приморский край,population_male,statistical_outlier,1192187.0,98961.88,1104.69,100.0,population_male value 1192187.00 deviates 5.16 standard deviations from mean 98961.88
Пермский,Пермский край,population_male,statistical_outlier,1908796.0,98961.88,1828.82,100.0,population_male value 1908796.00 deviates 8.54 standard deviations from mean 98961.88
Саратов,Саратовская область,population_male,statistical_outlier,1825429.0,98961.88,1744.58,100.0,population_male value 1825429.00 deviates 8.15 standard deviations from mean 98961.88
Саратов,Саратовская область,population_total,statistical_outlier,4077393.0,215781.13,1789.6,100.0,population_total value 4077393.00 deviates 8.17 standard deviations from mean 215781.13
Челябинский,Челябинская область,population_female,statistical_outlier,2595612.0,116819.26,2121.9,100.0,population_female value 2595612.00 deviates 9.50 standard deviations from mean 116819.26
Тюмень,Тюменская область,population_female,statistical_outlier,2054685.0,116819.26,1658.86,100.0,population_female value 2054685.00 deviates 7.43 standard deviations from mean 116819.26
Екатеринбург,Свердловская область,population_female,statistical_outlier,3700105.0,116819.26,3067.38,100.0,population_female value 3700105.00 deviates 13.73 standard deviations from mean 116819.26
Ростов-на-Дону,Ростовская область,population_female,statistical_outlier,2721376.0,116819.26,2229.56,100.0,population_female value 2721376.00 deviates 9.98 standard deviations from mean 116819.26
Омск,Омская область,population_female,statistical_outlier,2664209.0,116819.26,2180.62,100.0,population_female value 2664209.00 deviates 9.76 standard deviations from mean 116819.26
Новосибирск,Новосибирская область,population_female,statistical_outlier,3936267.0,116819.26,3269.54,100.0,population_female value 3936267.00 deviates 14.64 standard deviations from mean 116819.26
Нижний Новгород,Нижегородская область,population_female,statistical_outlier,3058955.0,116819.26,2518.54,100.0,population_female value 3058955.00 deviates 11.27 standard deviations from mean 116819.26
Воронеж,Воронежская область,population_female,statistical_outlier,2516769.0,116819.26,2054.41,100.0,population_female value 2516769.00 deviates 9.20 standard deviations from mean 116819.26
Ульяновск,Ульяновская область,population_female,statistical_outlier,1524975.0,116819.26,1205.41,100.0,population_female value 1524975.00 deviates 5.40 standard deviations from mean 116819.26
