region,anomaly_type,count,avg_severity
Магаданская область,cross_source_discrepancy,9,70.0
Магаданская область,geographic_anomaly,35,90.3
Магаданская область,logical_inconsistency,42,76.9047619047619
Магаданская область,statistical_outlier,87,69.54022988505747
Москва,cross_source_discrepancy,146,70.0
Москва,geographic_anomaly,636,90.75078616352201
Москва,logical_inconsistency,384,73.15104166666667
Москва,statistical_outlier,1871,71.25601282736504
Московская область,cross_source_discrepancy,58,70.0
Московская область,geographic_anomaly,81,90.71604938271605
Московская область,logical_inconsistency,182,73.30456043956045
Московская область,statistical_outlier,227,65.99118942731278
Мурманская область,cross_source_discrepancy,16,70.0
Мурманская область,geographic_anomaly,33,93.43939393939394
Мурманская область,logical_inconsistency,13,79.61538461538461
Мурманская область,statistical_outlier,38,70.52631578947368
Ненецкий автономный округ,cross_source_discrepancy,2,70.0
Ненецкий автономный округ,statistical_outlier,14,58.57142857142857
Нижегородская область,cross_source_discrepancy,50,70.0
Нижегородская область,geographic_anomaly,124,94.65322580645162
Нижегородская область,logical_inconsistency,77,72.76623376623377
Нижегородская область,statistical_outlier,23,68.69565217391305
Новгородская область,cross_source_discrepancy,22,70.0
Новгородская область,geographic_anomaly,52,92.125
Новгородская область,logical_inconsistency,61,60.08606557377049
Новгородская область,statistical_outlier,6,70.0
Новосибирская область,cross_source_discrepancy,35,70.0
Новосибирская область,geographic_anomaly,97,93.56701030927834
Новосибирская область,logical_inconsistency,19,61.78578947368421
Новосибирская область,statistical_outlier,17,81.76470588235294
Омская область,cross_source_discrepancy,33,70.0
Омская область,geographic_anomaly,55,93.04545454545455
Омская область,logical_inconsistency,5,57.126
Омская область,statistical_outlier,5,92.0
Оренбургская область,cross_source_discrepancy,41,70.0
Оренбургская область,geographic_anomaly,83,92.95180722891567
Оренбургская область,logical_inconsistency,12,61.553333333333335
Оренбургская область,statistical_outlier,16,72.5
Орловская область,cross_source_discrepancy,27,70.0
Орловская область,geographic_anomaly,49,95.62244897959184
Орловская область,logical_inconsistency,13,57.0923076923077
Орловская область,statistical_outlier,14,80.71428571428571
Пензенская область,cross_source_discrepancy,30,70.0
Пензенская область,geographic_anomaly,49,91.64285714285714
Пензенская область,logical_inconsistency,16,57.95125
Пензенская область,statistical_outlier,9,78.88888888888889
Пермский край,cross_source_discrepancy,42,70.0
Пермский край,geographic_anomaly,113,92.1283185840708
Пермский край,logical_inconsistency,77,80.92012987012987
Пермский край,statistical_outlier,16,65.625
